q;x;f(x)
0;-2;-0.00402197
1;-1.92;-0.00384917
2;-1.84;-0.00367637
3;-1.76;-0.00350357
4;-1.68;-0.00333077
5;-1.6;-0.00315797
6;-1.52;-0.00298517
7;-1.44;-0.00281237
8;-1.36;-0.00263957
9;-1.28;-0.00246677
10;-1.2;-0.00229397
11;-1.12;-0.00212117
12;-1.04;-0.00194837
13;-0.96;-0.00177557
14;-0.88;-0.00160277
15;-0.8;-0.00142997
16;-0.72;-0.00125717
17;-0.64;-0.00108437
18;-0.56;-0.00091157
19;-0.48;-0.000738769
20;-0.4;-0.000565969
21;-0.32;-0.000393169
22;-0.24;-0.000220369
23;-0.16;-4.75685e-05
24;-0.08;0.000125232
25;0;0.000298032
26;0.08;0.000470832
27;0.16;0.000643632
28;0.24;0.000816433
29;0.32;0.000989233
30;0.4;0.00116203
31;0.48;0.00133483
32;0.56;0.00150763
33;0.64;0.00168043
34;0.72;0.00185323
35;0.8;0.00202603
36;0.88;0.00219883
37;0.96;0.00237163
38;1.04;0.00254443
39;1.12;0.00271723
40;1.2;0.00289004
41;1.28;0.00306284
42;1.36;0.00323564
43;1.44;0.00340844
44;1.52;0.00358124
45;1.6;0.00375404
46;1.68;0.00392684
47;1.76;0.00409964
48;1.84;0.00427244
49;1.92;0.00444524
q;x;f(x)
0;-2;-0.00402197
1;-1.92;-0.00384917
2;-1.84;-0.00367637
3;-1.76;-0.00350357
4;-1.68;-0.00333077
5;-1.6;-0.00315797
6;-1.52;-0.00298517
7;-1.44;-0.00281237
8;-1.36;-0.00263957
9;-1.28;-0.00246677
10;-1.2;-0.00229397
11;-1.12;-0.00212117
12;-1.04;-0.00194837
13;-0.96;-0.00177557
14;-0.88;-0.00160277
15;-0.8;-0.00142997
16;-0.72;-0.00125717
17;-0.64;-0.00108437
18;-0.56;-0.00091157
19;-0.48;-0.000738769
20;-0.4;-0.000565969
21;-0.32;-0.000393169
22;-0.24;-0.000220369
23;-0.16;-4.75685e-05
24;-0.08;0.000125232
25;0;0.000298032
26;0.08;0.000470832
27;0.16;0.000643632
28;0.24;0.000816433
29;0.32;0.000989233
30;0.4;0.00116203
31;0.48;0.00133483
32;0.56;0.00150763
33;0.64;0.00168043
34;0.72;0.00185323
35;0.8;0.00202603
36;0.88;0.00219883
37;0.96;0.00237163
38;1.04;0.00254443
39;1.12;0.00271723
40;1.2;0.00289004
41;1.28;0.00306284
42;1.36;0.00323564
43;1.44;0.00340844
44;1.52;0.00358124
45;1.6;0.00375404
46;1.68;0.00392684
47;1.76;0.00409964
48;1.84;0.00427244
49;1.92;0.00444524
q;x;f(x)
0;-2;-0.00402197
1;-1.92;-0.00384917
2;-1.84;-0.00367637
3;-1.76;-0.00350357
4;-1.68;-0.00333077
5;-1.6;-0.00315797
6;-1.52;-0.00298517
7;-1.44;-0.00281237
8;-1.36;-0.00263957
9;-1.28;-0.00246677
10;-1.2;-0.00229397
11;-1.12;-0.00212117
12;-1.04;-0.00194837
13;-0.96;-0.00177557
14;-0.88;-0.00160277
15;-0.8;-0.00142997
16;-0.72;-0.00125717
17;-0.64;-0.00108437
18;-0.56;-0.00091157
19;-0.48;-0.000738769
20;-0.4;-0.000565969
21;-0.32;-0.000393169
22;-0.24;-0.000220369
23;-0.16;-4.75685e-05
24;-0.08;0.000125232
25;0;0.000298032
26;0.08;0.000470832
27;0.16;0.000643632
28;0.24;0.000816433
29;0.32;0.000989233
30;0.4;0.00116203
31;0.48;0.00133483
32;0.56;0.00150763
33;0.64;0.00168043
34;0.72;0.00185323
35;0.8;0.00202603
36;0.88;0.00219883
37;0.96;0.00237163
38;1.04;0.00254443
39;1.12;0.00271723
40;1.2;0.00289004
41;1.28;0.00306284
42;1.36;0.00323564
43;1.44;0.00340844
44;1.52;0.00358124
45;1.6;0.00375404
46;1.68;0.00392684
47;1.76;0.00409964
48;1.84;0.00427244
49;1.92;0.00444524
q;x;f(x)
0;-2;-0.00402197
1;-1.92;-0.00384917
2;-1.84;-0.00367637
3;-1.76;-0.00350357
4;-1.68;-0.00333077
5;-1.6;-0.00315797
6;-1.52;-0.00298517
7;-1.44;-0.00281237
8;-1.36;-0.00263957
9;-1.28;-0.00246677
10;-1.2;-0.00229397
11;-1.12;-0.00212117
12;-1.04;-0.00194837
13;-0.96;-0.00177557
14;-0.88;-0.00160277
15;-0.8;-0.00142997
16;-0.72;-0.00125717
17;-0.64;-0.00108437
18;-0.56;-0.00091157
19;-0.48;-0.000738769
20;-0.4;-0.000565969
21;-0.32;-0.000393169
22;-0.24;-0.000220369
23;-0.16;-4.75685e-05
24;-0.08;0.000125232
25;0;0.000298032
26;0.08;0.000470832
27;0.16;0.000643632
28;0.24;0.000816433
29;0.32;0.000989233
30;0.4;0.00116203
31;0.48;0.00133483
32;0.56;0.00150763
33;0.64;0.00168043
34;0.72;0.00185323
35;0.8;0.00202603
36;0.88;0.00219883
37;0.96;0.00237163
38;1.04;0.00254443
39;1.12;0.00271723
40;1.2;0.00289004
41;1.28;0.00306284
42;1.36;0.00323564
43;1.44;0.00340844
44;1.52;0.00358124
45;1.6;0.00375404
46;1.68;0.00392684
47;1.76;0.00409964
48;1.84;0.00427244
49;1.92;0.00444524
q;x;f(x)
0;-2;-0.00402197
1;-1.92;-0.00384917
2;-1.84;-0.00367637
3;-1.76;-0.00350357
4;-1.68;-0.00333077
5;-1.6;-0.00315797
6;-1.52;-0.00298517
7;-1.44;-0.00281237
8;-1.36;-0.00263957
9;-1.28;-0.00246677
10;-1.2;-0.00229397
11;-1.12;-0.00212117
12;-1.04;-0.00194837
13;-0.96;-0.00177557
14;-0.88;-0.00160277
15;-0.8;-0.00142997
16;-0.72;-0.00125717
17;-0.64;-0.00108437
18;-0.56;-0.00091157
19;-0.48;-0.000738769
20;-0.4;-0.000565969
21;-0.32;-0.000393169
22;-0.24;-0.000220369
23;-0.16;-4.75685e-05
24;-0.08;0.000125232
25;0;0.000298032
26;0.08;0.000470832
27;0.16;0.000643632
28;0.24;0.000816433
29;0.32;0.000989233
30;0.4;0.00116203
31;0.48;0.00133483
32;0.56;0.00150763
33;0.64;0.00168043
34;0.72;0.00185323
35;0.8;0.00202603
36;0.88;0.00219883
37;0.96;0.00237163
38;1.04;0.00254443
39;1.12;0.00271723
40;1.2;0.00289004
41;1.28;0.00306284
42;1.36;0.00323564
43;1.44;0.00340844
44;1.52;0.00358124
45;1.6;0.00375404
46;1.68;0.00392684
47;1.76;0.00409964
48;1.84;0.00427244
49;1.92;0.00444524
q;x;f(x)
0;-2;-0.00402197
1;-1.92;-0.00384917
2;-1.84;-0.00367637
3;-1.76;-0.00350357
4;-1.68;-0.00333077
5;-1.6;-0.00315797
6;-1.52;-0.00298517
7;-1.44;-0.00281237
8;-1.36;-0.00263957
9;-1.28;-0.00246677
10;-1.2;-0.00229397
11;-1.12;-0.00212117
12;-1.04;-0.00194837
13;-0.96;-0.00177557
14;-0.88;-0.00160277
15;-0.8;-0.00142997
16;-0.72;-0.00125717
17;-0.64;-0.00108437
18;-0.56;-0.00091157
19;-0.48;-0.000738769
20;-0.4;-0.000565969
21;-0.32;-0.000393169
22;-0.24;-0.000220369
23;-0.16;-4.75685e-05
24;-0.08;0.000125232
25;0;0.000298032
26;0.08;0.000470832
27;0.16;0.000643632
28;0.24;0.000816433
29;0.32;0.000989233
30;0.4;0.00116203
31;0.48;0.00133483
32;0.56;0.00150763
33;0.64;0.00168043
34;0.72;0.00185323
35;0.8;0.00202603
36;0.88;0.00219883
37;0.96;0.00237163
38;1.04;0.00254443
39;1.12;0.00271723
40;1.2;0.00289004
41;1.28;0.00306284
42;1.36;0.00323564
43;1.44;0.00340844
44;1.52;0.00358124
45;1.6;0.00375404
46;1.68;0.00392684
47;1.76;0.00409964
48;1.84;0.00427244
49;1.92;0.00444524
q;x;f(x)
0;-2;-0.00402197
1;-1.92;-0.00384917
2;-1.84;-0.00367637
3;-1.76;-0.00350357
4;-1.68;-0.00333077
5;-1.6;-0.00315797
6;-1.52;-0.00298517
7;-1.44;-0.00281237
8;-1.36;-0.00263957
9;-1.28;-0.00246677
10;-1.2;-0.00229397
11;-1.12;-0.00212117
12;-1.04;-0.00194837
13;-0.96;-0.00177557
14;-0.88;-0.00160277
15;-0.8;-0.00142997
16;-0.72;-0.00125717
17;-0.64;-0.00108437
18;-0.56;-0.00091157
19;-0.48;-0.000738769
20;-0.4;-0.000565969
21;-0.32;-0.000393169
22;-0.24;-0.000220369
23;-0.16;-4.75685e-05
24;-0.08;0.000125232
25;0;0.000298032
26;0.08;0.000470832
27;0.16;0.000643632
28;0.24;0.000816433
29;0.32;0.000989233
30;0.4;0.00116203
31;0.48;0.00133483
32;0.56;0.00150763
33;0.64;0.00168043
34;0.72;0.00185323
35;0.8;0.00202603
36;0.88;0.00219883
37;0.96;0.00237163
38;1.04;0.00254443
39;1.12;0.00271723
40;1.2;0.00289004
41;1.28;0.00306284
42;1.36;0.00323564
43;1.44;0.00340844
44;1.52;0.00358124
45;1.6;0.00375404
46;1.68;0.00392684
47;1.76;0.00409964
48;1.84;0.00427244
49;1.92;0.00444524
q;x;f(x)
0;-2;-0.00402197
1;-1.92;-0.00384917
2;-1.84;-0.00367637
3;-1.76;-0.00350357
4;-1.68;-0.00333077
5;-1.6;-0.00315797
6;-1.52;-0.00298517
7;-1.44;-0.00281237
8;-1.36;-0.00263957
9;-1.28;-0.00246677
10;-1.2;-0.00229397
11;-1.12;-0.00212117
12;-1.04;-0.00194837
13;-0.96;-0.00177557
14;-0.88;-0.00160277
15;-0.8;-0.00142997
16;-0.72;-0.00125717
17;-0.64;-0.00108437
18;-0.56;-0.00091157
19;-0.48;-0.000738769
20;-0.4;-0.000565969
21;-0.32;-0.000393169
22;-0.24;-0.000220369
23;-0.16;-4.75685e-05
24;-0.08;0.000125232
25;0;0.000298032
26;0.08;0.000470832
27;0.16;0.000643632
28;0.24;0.000816433
29;0.32;0.000989233
30;0.4;0.00116203
31;0.48;0.00133483
32;0.56;0.00150763
33;0.64;0.00168043
34;0.72;0.00185323
35;0.8;0.00202603
36;0.88;0.00219883
37;0.96;0.00237163
38;1.04;0.00254443
39;1.12;0.00271723
40;1.2;0.00289004
41;1.28;0.00306284
42;1.36;0.00323564
43;1.44;0.00340844
44;1.52;0.00358124
45;1.6;0.00375404
46;1.68;0.00392684
47;1.76;0.00409964
48;1.84;0.00427244
49;1.92;0.00444524
